Sr,Open,High,Low,Close,Shares Traded,Turnover
1,10881.7,10923.6,10807.1,10910.1,159404542,8688.26
2,10868.85,10895.35,10735.05,10792.5,309665939,15352.25
3,10796.8,10814.05,10661.25,10672.25,286241745,15030.45
4,10699.7,10741.05,10628.65,10727.35,296596655,14516.74
5,10804.85,10835.95,10750.15,10771.8,269371080,12731.29
6,10786.25,10818.45,10733.25,10802.15,277697672,13433.48
7,10862.4,10870.4,10749.4,10855.15,333010535,16213.3
8,10859.35,10859.35,10801.8,10821.6,254365477,12031.26
9,10834.75,10850.15,10739.4,10794.95,260792200,13084.6
10,10807,10808,10692.35,10737.6,298774178,12732.57
11,10777.55,10896.95,10777.55,10886.8,310737078,14879.91
12,10899.65,10928.15,10876.9,10890.3,276539042,13081.63
